symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d
STXUSDT,STX,Mid,117,0.2263,394341.12772,1.708,49.25274859191224,0.00014417151087246414,0.22938999999999996,0.2943505000000001,0.5367740426591837,0.3132491091674765,0.26789763524457394,0.02238383251831416,0.7806608895224286,0.2168944444444444,0.2753194444444444,,0,0,neutre,365,0,0,30,,,31.0,37.0,75.5,47.0,50,50.71,False,False,,0,,,,53
QTUMUSDT,QTUM,Mid,311,0.877,98319.0164,0.343,45.4506989796671,-0.003435482006326259,0.8992200000000002,1.2595699999999994,0.43675501905037717,0.2544268406337371,0.18173345759552653,0.018856281298433246,0.7828488691895051,0.8451666666666666,0.9937777777777776,,0,0,neutre,365,0,0,30,,,31.0,37.0,75.5,47.0,50,50.71,False,False,,0,,,,53
AUDIOUSDT,AUDIO,Speculative,718,0.02014,342087.705734,-1.275,51.27756758886065,-0.00015588282816084967,0.0190842,0.0272522,1.7634665406689318,0.28917748917748914,0.20338983050847462,0.01065592286032292,0.3912201369309565,0.01696777777777778,0.02346277777777778,uptrend,1,0,haussier,365,0,0,30,,,17.0,57.0,52.0,47.0,56.4,50.7,False,False,,0,,,,57
FARMUSDT,FARM,Speculative,,11.72,295993.62179,2.448,48.28742358787845,-0.009094018484177221,11.936200000000001,16.44805000000001,0.4489355530701232,0.2232267037552156,0.18636995827538258,0.014566369810040742,0.723279868140638,11.321666666666665,13.836666666666668,macd_bearish_cross|double_bottom_90d,1,1,mixte,365,0,0,30,,,17.0,37.0,87.5,47.0,25.9,50.63,False,False,,0,,,,49
BCHUSDT,BCH,Etabli,16,444.7,1910910.1871,-1.484,46.82812646470289,-0.1674499474114315,453.06,519.5829999999997,0.34636787730139906,0.26178377431224814,0.22148239004731035,0.010215764106446788,0.769703529535478,435.7138888888889,547.9000000000001,macd_bearish_cross,0,1,baissier,365,0,0,30,,,45.0,37.0,75.5,68.0,19.9,50.61,False,False,,0,,,,46
GUSDT,G,Speculative,,0.00362,142899.30168,1.401,45.11025444791497,-1.767133410692896e-05,0.0038063999999999997,0.004653550000000001,0.5092829415092651,0.40940766550522656,0.37108013937282236,0.016024319143464635,0.4376642570517952,0.0033422222222222226,0.0043749999999999995,,0,0,neutre,365,0,0,30,,,17.0,37.0,79.0,47.0,50,50.46,False,False,,0,,,,54
CETUSUSDT,CETUS,Speculative,,0.02811,167184.658819,0.536,59.88174953858836,-5.338405025375132e-05,0.022739600000000006,0.026335499999999984,1.1994592024389432,0.323373676248109,0.08159268929503924,0.006486479482313478,0.5630909682069405,0.015614166666666667,0.02791222222222222,macd_bearish_cross|evening_star_4h,0,2,baissier,365,0,0,30,,,17.0,57.0,67.0,47.0,7.4,50.33,False,False,,0,,,,48
ORDIUSDT,ORDI,Mid,275,5.246,49118157.10522,17.334,59.16102301829127,-0.019860957736432927,3.3610600000000006,3.7826749999999993,3.9285940630188123,0.5063395163183846,0.382718948109885,0.2979410214885963,0.3329889138365413,2.2699722222222216,5.065222222222221,uptrend,1,0,haussier,365,0,0,30,,,31.0,57.0,38.5,78.5,56.4,50.32,False,False,,0,,,,55
MUBARAKUSDT,MUBARAK,Speculative,,0.01391,794094.652347,3.42,53.325867929734834,-2.5447747281674476e-05,0.0129622,0.01659069999999999,1.064044455516314,0.4693579766536965,0.3249027237354085,0.0051002195612678755,0.5358707807285595,0.011437499999999998,0.016907222222222226,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,17.0,57.0,58.0,57.5,26.2,50.3,False,False,,0,,,,51
ARDRUSDT,ARDR,Speculative,535,0.04189,23336.54035,0.649,43.79532298405305,-5.025885495789324e-05,0.043572799999999995,0.05340199999999998,0.32872661045269863,0.19342284491146133,0.1827203736135434,0.005420473239097848,0.8133052653458549,0.04157611111111112,0.049617777777777775,double_bottom_90d|support_bounce|doji_4h,2,0,haussier,365,0,0,30,,,17.0,28.0,87.5,47.0,57.2,50.25,False,False,,0,,,,51
OPUSDT,OP,Mid,159,0.1248,1966698.417199,3.311,54.235759831970526,-3.401312773350872e-05,0.11806199999999997,0.24491049999999992,0.7696600279605943,0.5344591510725696,0.43176631675034227,0.012552096746140983,0.6462849674533637,0.1084888888888889,0.18655833333333335,macd_bearish_cross|double_top_90d|evening_star_4h,0,3,baissier,365,0,0,30,,,31.0,57.0,59.5,68.0,0,50.24,False,False,,0,,,,45
TUTUSDT,TUT,Speculative,,0.01106,452565.12065,4.241,53.9001391494022,-6.827240237588692e-05,0.010022400000000002,0.013829350000000004,1.196272538899557,0.32324058919803605,0.13774319066147866,0.14456477107680626,0.5308712707933356,0.008800833333333334,0.01181861111111111,macd_bearish_cross,0,1,baissier,365,0,0,30,,,17.0,57.0,62.5,47.0,19.9,50.21,False,False,,0,,,,50
POWRUSDT,POWR,Speculative,640,0.0626,152474.4824,0.16,44.57022166707726,-0.00037998667056255586,0.064314,0.08064550000000002,0.4800117048082906,0.20596205962059627,0.15040650406504064,0.003524229492740495,0.8161059882878147,0.060563888888888896,0.0696861111111111,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,28.0,87.5,47.0,56.0,50.12,False,False,,0,,,,51
OGUSDT,OG,Speculative,,3.04,745092.9036,3.613,53.3624870761509,-0.01698740722710422,2.82738,7.316450000000004,0.8554564335523427,0.5068870523415978,0.40397481306572214,0.0051655162777700155,0.3251187396891592,2.5811111111111114,4.0048055555555555,macd_bearish_cross,0,1,baissier,365,0,0,30,,,17.0,57.0,59.5,57.5,19.9,50.11,False,False,,0,,,,49
PUMPUSDT,PUMP,Etabli,84,0.001809,2072078.045257,-0.331,49.35158534326696,-6.155800668905662e-07,0.00181508,0.0025005549999999994,0.8441576234442469,0.3221253632212537,0.24989622249896226,0.004321566878691333,0.7439667800633518,0.001689361111111111,0.0021958333333333335,,0,0,neutre,235,0,0,30,,,41.4,37.0,65.0,68.0,50,50.09,False,False,,0,,,,52
ZBTUSDT,ZBT,Mid,493,0.1973,7247438.6438,4.613,69.18317172396311,0.003963076474565709,0.110862,,1.6711010753532403,0.17209729233593393,0.10647085819183111,0.05896890694206834,0.32177226540111364,0.06766388888888888,0.15629444444444443,double_bottom_90d|uptrend,2,0,haussier,199,0,0,30,,,26.5,36.0,64.0,78.5,62.4,50.05,False,False,,0,,,,51
ANIMEUSDT,ANIME,Speculative,,0.00474,200404.907898,0.637,49.60023521273931,-6.023753225296369e-06,0.004752200000000001,0.006250450000000002,0.5126202491190678,0.261744966442953,0.20637583892617453,0.00452035734669895,0.5940141101920493,0.00450388888888889,0.005714166666666668,macd_bearish_cross|double_bottom_90d|uptrend,2,1,haussier,365,0,0,30,,,17.0,37.0,83.5,47.0,32.2,50.03,False,False,,0,,,,50
BMTUSDT,BMT,Speculative,,0.01541,147799.550382,2.256,48.13290673002049,-0.0001233411569540932,0.015403399999999998,0.022831599999999994,0.6240358136243184,0.24644030668127048,0.15717415115005473,0.006448922100182407,0.7044461022517512,0.01426416666666667,0.01756388888888889,,0,0,neutre,365,0,0,30,,,17.0,37.0,77.0,47.0,50,49.83,False,False,,0,,,,53
SPKUSDT,SPK,Mid,295,0.037587,4963049.970171,3.915,61.51060684508469,-0.00018741023366496568,0.02589291999999999,0.026036800000000002,1.7622557171881672,0.31461799137399876,0.27318237831176845,0.0668219045478999,0.4311749388731305,0.019566,0.03495611111111111,macd_bearish_cross,0,1,baissier,321,0,0,30,,,29.8,57.0,52.0,68.0,19.9,49.82,False,False,,0,,,,48
ALICEUSDT,ALICE,Speculative,,0.1483,428899.703909,-0.403,56.749492960275184,-0.0011510983913712858,0.12508399999999997,0.1782675,1.1930688437504604,0.31523178807947017,0.09512195121951221,0.005528662444127922,0.27636779748918505,0.10521666666666668,0.1585055555555556,macd_bearish_cross,0,1,baissier,365,0,0,30,,,17.0,57.0,61.0,47.0,19.9,49.74,False,False,,0,,,,50
ONTUSDT,ONT,Mid,390,0.07102,252355.94267,-0.935,45.46254720573974,-0.0010864261239920047,0.0715494,0.06576275,0.8916431916020393,0.36816677104768714,0.3640511765232172,0.005607015677311885,0.34601810591971605,0.0406938888888889,0.09134250000000002,downtrend,0,1,baissier,365,0,0,30,,,31.0,45.0,68.5,47.0,30.6,49.72,False,False,,0,,,,50
ANKRUSDT,ANKR,Mid,489,0.00486,158394.097057,1.25,43.80629415182767,-3.712126991606843e-05,0.005064400000000001,0.0064656,0.46652888730307807,0.304421768707483,0.17346938775510207,0.00294983800710401,0.4655733038742649,0.004236944444444443,0.005487222222222222,support_bounce,1,0,haussier,365,0,0,30,,,31.0,28.0,83.5,47.0,51.2,49.72,False,False,,0,,,,49
HUMAUSDT,HUMA,Speculative,578,0.02248,826526.72544,1.95,56.55210007861824,-0.00026585227889368073,0.018134400000000002,0.021978700000000007,1.2952070638242823,0.46563088512241047,0.2100456621004566,0.0021579791248104445,0.3697128297799187,0.012418333333333335,0.02286083333333333,macd_bearish_cross|shooting_star_4h,0,2,baissier,343,0,0,30,,,16.4,57.0,62.5,57.5,7.4,49.7,False,False,,0,,,,47
DOTUSDT,DOT,Etabli,43,1.223,4012579.69678,1.494,44.18613556662817,0.0004983717979254905,1.3056,1.8844999999999994,0.619094160330969,0.29825616355983164,0.26458208057726995,0.005668249840976216,0.6317205037194971,1.2088055555555555,1.567027777777778,support_bounce,1,0,haussier,365,0,0,30,,,45.0,28.0,73.0,68.0,51.2,49.45,False,False,,0,,,,47
WINUSDT,WIN,Speculative,,1.993e-05,284365.58283323,2.838,49.834423178783155,-2.978986526936908e-08,2.0081200000000004e-05,2.7343700000000007e-05,0.3744249569679369,0.267238021036229,0.2232177639267628,0.008381601253211173,0.5078423210610931,1.912305555555555e-05,2.341888888888888e-05,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,17.0,37.0,83.5,47.0,26.2,49.41,False,False,,0,,,,49
XVSUSDT,XVS,Speculative,521,2.6,128925.6233,2.362,46.115541507336786,-0.0046947637635149225,2.7292,3.8309,0.7204033118011363,0.3036211699164345,0.27576601671309187,0.07882063045836857,0.5285258808085619,2.5847222222222226,3.270000000000001,support_bounce|uptrend,2,0,haussier,365,0,0,30,,,17.0,37.0,73.0,47.0,57.6,49.36,False,False,,0,,,,55
MEUSDT,ME,Mid,464,0.1051,142320.326555,0.574,47.27428886165524,-0.0002813405977524914,0.10626599999999999,0.22130450000000007,0.5707958431081602,0.4660408614025401,0.41965764770844843,0.002406894038981347,0.566984646687386,0.10043055555555555,0.14821388888888887,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,31.0,37.0,79.0,47.0,26.2,49.35,False,False,,0,,,,48
OSMOUSDT,OSMO,Speculative,,0.0314,132471.549626,1.29,48.249842626470844,-8.764950309388067e-05,0.031734,0.05689350000000002,0.47660218367211227,0.3023809523809524,0.25000000000000006,0.06661512039913269,0.845743121262258,0.030408333333333322,0.038255555555555563,doji_4h,0,0,neutre,365,0,0,30,,,17.0,37.0,75.5,47.0,50,49.35,False,False,,0,,,,53
ICXUSDT,ICX,Speculative,559,0.0366,22433.36786,1.105,46.90771024702322,-0.0002515497736368754,0.03672,0.053433999999999975,0.5284804359416717,0.2797356828193833,0.19383259911894277,0.004333716724465453,0.7485187226877024,0.034288888888888876,0.042158333333333325,,0,0,neutre,365,0,0,30,,,17.0,37.0,75.5,47.0,50,49.35,False,False,,0,,,,53
