symbol,tier,rank_mcap,score_explosif,score_momentum,score_signal,score_catalysts,price,vol_24h_usd,change_24h_pct,rsi_14,vol_ratio,drawdown_90d,ma_50,ma_200,patterns_bull,patterns_bear,catalyst_score,trending_rank,vol_spike,support_90d,resistance_90d,exit_risk,exit_label,exit_reasons
COTIUSDT,Mid,422,62.21,70.0,61.8,30.0,0.01844,12306183.81127,0.655,75.04960426959603,1.7559308766204806,0.4389820705610179,0.0125338,0.011945700000000002,golden_cross|uptrend,,0,,,0.0076102777777777774,0.016030000000000003,4,⚠️ Surveiller,RSI 75 surachat|Près résistance 90j
WBTCUSDT,Speculative,,62.11,73.5,61.8,30.0,77768.81,3820985.068249,-1.906,57.63772047539521,0.7937976432398708,0.11673036308618283,70435.57780000003,69893.94759999996,golden_cross|uptrend,,0,,,61048.33416666666,78939.48305555555,3,✅ OK,Près résistance 90j
ARBUSDT,Etabli,74,61.45,73.0,55.0,35.0,0.1483,43886103.20763,-10.931,61.10869447210675,1.593637735916078,0.23368421052631577,0.09708799999999997,0.10019899999999998,uptrend,,0,12,,0.07467222222222221,0.1276833333333333,0,✅ OK,
STRAXUSDT,Speculative,802,61.2,80.5,55.0,30.0,0.00971,1182519.74986,-4.051,56.92616196371094,3.1027907919949125,0.2524886877828055,0.009015199999999996,0.0114046,uptrend,,0,,,0.008440833333333333,0.01080861111111111,0,✅ OK,
THEUSDT,Speculative,,60.97,74.5,42.9,60.0,0.068,47902396.09543,-6.849,48.86358696708672,95.56314351257022,0.32188841201716745,0.062594,0.10034949999999997,uptrend,macd_bearish_cross,0,,95.56,0.051097222222222204,0.07407499999999999,3,✅ OK,MACD bear
ZENUSDT,Mid,236,60.7,73.0,55.0,30.0,6.78,10127490.07663,-9.576,64.13653980049631,1.6340469822999508,0.1982378854625551,4.844220000000002,5.241619999999998,uptrend,,0,,,3.934666666666666,6.134000000000002,0,✅ OK,
XTZUSDT,Mid,145,60.7,76.8,55.0,30.0,0.2523,4450602.78799,-6.069,63.77432460681859,2.6594901812732035,0.23766640563821456,0.21633599999999997,0.2943059999999998,uptrend,,0,,,0.19850833333333334,0.24870833333333328,2,✅ OK,Près résistance 90j
INJUSDT,Etabli,97,60.68,65.5,66.2,30.0,6.011,7637352.73839,-5.099,63.54523719921589,0.4413124733490899,0.26819648619576913,4.946739999999999,4.352385000000002,macd_bullish_cross|double_bottom_90d|uptrend,,0,,,4.344027777777778,5.645555555555556,2,✅ OK,Volume ×0.4 épuisé
CAKEUSDT,Etabli,92,60.2,75.5,55.0,30.0,2.161,7310973.48294,-5.798,68.76106742144293,1.438680724163272,0.07213578500707205,1.6426800000000004,1.4711149999999995,uptrend,,0,,,1.3371666666666664,1.9586111111111113,2,✅ OK,Près résistance 90j
GPSUSDT,Mid,369,60.2,73.0,60.0,30.0,0.01191,2103445.428517,2.939,57.725090827324095,0.5985159432288824,0.48917748917748916,0.010508200000000002,0.008890100000000001,macd_bullish_cross|uptrend,,0,,,0.008573333333333334,0.012315833333333331,2,✅ OK,Volume ×0.6 épuisé
